Number of Records,Age Bucket,Seriousness,Gender,Incident Count,Clusters
1,0,4.666666667,M,3,0
1,5,4.714285714,M,28,0
1,10,4.40625,M,32,0
1,15,4.133333333,M,30,0
1,20,3.561403509,M,57,0
1,25,3.871287129,M,101,0
1,30,2.875,M,136,0
1,35,3.202898551,M,138,0
1,40,2.757396450,M,338,0
1,45,3.301948052,M,308,0
1,50,2.780487805,M,246,0
1,55,2.976351351,M,296,0
1,60,2.836363636,M,440,0
1,65,3.301369863,M,365,0
1,70,2.862559242,M,211,0
1,75,2.816176471,M,136,0
1,80,3.560975610,M,41,0
1,85,4.333333333,M,9,0
1,90,3,M,1,0
1,95,3,M,4,0
1,0,3.888888889,F,9,0
1,5,4.333333333,F,24,0
1,10,4.301369863,F,73,0
1,15,4.050847458,F,118,0
1,20,4.238938053,F,113,0
1,25,3.234309623,F,239,0
1,30,2.623255814,F,430,0
1,35,2.886319846,F,519,0
1,40,2.989393939,F,660,0
1,45,3.094837935,F,833,0
1,50,2.818930041,F,729,0
1,55,2.953237410,F,834,0
1,60,2.701298701,F,847,0
1,65,2.700348432,F,574,0
1,70,2.856275304,F,494,0
1,75,3.026315789,F,380,0
1,80,4.262135922,F,103,0
1,85,4.095238095,F,42,0
1,90,4.333333333,F,15,0
1,95,5,F,2,0
1,55,1,M,216,1
1,60,0.184368152,M,6845,1
1,65,0.223974763,M,5389,1
1,70,0.272496539,M,4334,1
1,75,0.311330384,M,2939,1
1,80,0.361946419,M,1829,1
1,85,0.463990555,M,847,1
1,90,0.459330144,M,209,1
1,95,0.612903226,M,31,1
1,100,0,M,3,1
1,60,0.213375386,F,15536,1
1,65,0.195327229,F,14852,1
1,70,0.222384470,F,11642,1
1,75,0.232609905,F,7188,1
1,80,0.279771809,F,4207,1
1,85,0.333516182,F,1823,1
1,90,0.350840336,F,476,1
1,95,0.083333333,F,96,1
1,0,8,M,1,2
1,5,8.482758621,M,29,2
1,10,9.521739130,M,23,2
1,15,8.729166667,M,48,2
1,20,9.361702128,M,47,2
1,25,8.459459459,M,74,2
1,30,8.492957746,M,71,2
1,35,8.8,M,75,2
1,40,7.32,M,250,2
1,45,8.277777778,M,144,2
1,50,8.201298701,M,154,2
1,55,8.691919192,M,198,2
1,60,8.985347985,M,273,2
1,65,8.872093023,M,344,2
1,70,8.768939394,M,264,2
1,75,8.519841270,M,252,2
1,80,8.862318841,M,138,2
1,85,8.619047619,M,42,2
1,90,8.6,M,10,2
1,95,8.5,M,2,2
1,0,9.75,F,4,2
1,5,8.179104478,F,67,2
1,10,10,F,62,2
1,15,9.393442623,F,61,2
1,20,7.976744186,F,43,2
1,25,8.676470588,F,68,2
1,30,8.099099099,F,111,2
1,35,9.166666667,F,174,2
1,40,8.323076923,F,260,2
1,45,8.415966387,F,238,2
1,50,8.770609319,F,279,2
1,55,9.810344828,F,464,2
1,60,8.619952494,F,421,2
1,65,8.874035990,F,389,2
1,70,8.870129870,F,462,2
1,75,9.253731343,F,335,2
1,80,8.723756906,F,181,2
1,85,8.491228070,F,57,2
1,90,8.689655172,F,29,2
1,95,8.5,F,6,2
1,0,0.185430464,M,151,3
1,5,0.332740214,M,1124,3
1,10,0.194898627,M,1529,3
1,15,0.269908815,M,1645,3
1,20,0.310537334,M,1433,3
1,25,0.301759834,M,1932,3
1,30,0.249245364,M,2319,3
1,35,0.215972520,M,2329,3
1,0,0.264591440,F,257,3
1,5,0.214771623,F,1029,3
1,10,0.324876238,F,1616,3
1,15,0.285764623,F,2838,3
1,20,0.246172249,F,4180,3
1,25,0.228595890,F,5840,3
1,30,0.194161575,F,7365,3
1,35,0.211678832,F,6028,3
1,35,0,M,488,4
1,40,0.209082866,M,3391,4
1,45,0.155384973,M,4299,4
1,50,0.197729583,M,5902,4
1,55,0.144197952,M,7032,4
1,60,0,M,128,4
1,35,0.104957959,F,3449,4
1,40,0.160698055,F,11002,4
1,45,0.183211193,F,13509,4
1,50,0.174289868,F,17884,4
1,55,0.162825803,F,19874,4
1,60,0,F,3436,4
